0.643,0.88,3.409
0.56,0.848,2.464
0.596,0.66,2.879
0.366,0.341,5.299
0.442,0.889,3.832
0.614,0.201,5.52
0.164,0.874,2.966
0.112,0.204,2.345
0.383,0.723,4.708
0.094,0.285,3.746
0.646,0.819,5.14
0.228,0.618,5.45
0.387,0.323,3.764
0.067,0.311,2.388
0.26,0.178,4.458
0.289,0.372,4.098
0.249,0.186,3.046
0.493,0.667,3.213
0.277,0.8,4.421
0.696,0.445,5.406
0.513,0.302,4.043
0.435,0.36,4.315
0.353,0.48,2.654
0.633,0.688,3.256
0.33,0.528,4.794
0.504,0.475,5.472
0.189,0.369,3.627
0.604,0.901,2.622
0.584,0.603,4.341
0.467,0.574,4.632
0.59,0.914,3.668
0.057,0.517,3.446
0.412,0.348,3.184
0.217,0.174,3.856
0.637,0.219,3.093
0.3,0.694,3.434
0.63,0.488,4.883
0.341,0.782,5.744
0.577,0.904,4.983
0.123,0.634,5.559
0.337,0.462,5.865
0.203,0.252,2.565
0.401,0.682,5.078
0.107,0.748,4.826
0.042,0.828,2.22
0.125,0.595,4.025
0.657,0.227,3.715
0.173,0.232,5.24
0.119,0.429,2.358
0.446,0.861,2.93
0.253,0.584,2.714
0.061,0.742,3.681
0.036,0.457,4.612
0.481,0.273,2.503
0.054,0.504,5.426
0.562,0.154,4.173
0.322,0.855,2.772
0.318,0.17,5.201
0.183,0.561,4.759
0.314,0.629,5.688
0.535,0.38,4.877
0.358,0.395,2.113
0.566,0.592,2.531
0.427,0.291,5.354
0.145,0.268,4.577
0.687,0.138,4.837
0.133,0.92,3.886
0.082,0.33,5.677
0.651,0.821,3.579
0.155,0.944,5.025
0.623,0.406,3.291
0.399,0.794,4.451
0.695,0.863,4.729
0.393,0.687,3.03
0.179,0.731,3.347
0.554,0.569,3.481
0.258,0.151,2.148
0.015,0.388,3.911
0.37,0.494,4.256
0.243,0.411,2.596
0.616,0.811,5.63
0.661,0.509,3.953
0.453,0.701,3.809
0.609,0.803,2.175
0.463,0.499,3.004
0.671,0.439,2.435
0.232,0.975,2.839
0.421,0.837,5.331
0.713,0.774,2.959
0.238,0.422,5.1
0.361,0.307,4.675
0.529,0.212,4.947
0.139,0.788,5.574
0.222,0.717,4.063
0.169,0.535,3.253
0.573,0.624,5.155
0.285,0.295,3.636
0.522,0.246,3.365
0.477,0.98,4.549
0.728,0.736,4.119
0.718,0.122,3.328
0.208,0.764,2.535
0.211,0.103,4.923
0.004,0.653,5.256
0.455,0.11,2.264
0.19,0.543,2.007
0.291,0.935,4.526
0.146,0.115,2.681
0.509,0.415,2.308
0.723,0.565,4.642
0.516,0.454,4.146
0.592,0.391,5.618
0.488,0.999,3.526
0.744,0.672,2.069
0.022,0.615,4.238
0.075,0.354,3.169
0.536,0.76,2.901
0.543,0.99,5.808
0.088,0.873,3.115
0.5,0.727,5.903
0.704,0.953,3.975
0.271,0.276,5.728
0.27,0.712,5.046
0.028,0.339,4.989
0.348,0.548,3.507
0.432,0.949,2.281
0.009,0.928,5.985
0.738,0.963,5.362
0.73,0.193,5.535
0.408,0.468,5.186
0.418,0.131,4.197
0.045,0.646,2.742
0.095,0.146,3.94
0.302,0.841,3.572
0.677,0.556,3.127
0.332,0.256,2.8
0.155,0.521,5.964
0.546,0.771,4.381
0.079,0.124,5.781
0.033,0.897,4.506
0.377,0.646,2.193
0.683,0.318,4.347
0.016,0.242,2.031
0.471,0.16,5.83
0.31,0.93,5.892
0.1,0.969,2.083
0.666,0.224,2.411
0.748,0.606,5.941
0.708,0.986,2.782
0.197,0.433,4.287
0.675,0.559,2.628
0.588,0.358,2.221
0.617,0.695,2.028
0.74,0.51,2.89
0.631,0.13,2.345
0.506,0.861,2.478
0.718,0.235,2.788
0.686,0.746,2.141
0.529,0.958,2.906
0.569,0.377,2.534
